Account Sale History,553664,Warranty Deed ,"$240,000.00 ",Section: 8 Township: 36 Range: 15 Subdivision: VERDE VI...,
553664,,1/4/2008,5.60908E+11,,
Account Sale History,553770,Warranty Deed (JT) ,"$385,000.00 ",Quarter: NE/4 Section: 34 Township: 37 Range: 14 Subdiv...,
553770,,1/11/2008,5.36134E+11,,
Account Sale History,553846,Warranty Deed ,"$114,000.00 ",Section: 7 Township: 35 Range: 16 Subdivision: SAGE HIL...,
553846,,1/11/2008,5.63707E+11,,
Account Sale History,554052,Warranty Deed (JT) ,"$187,000.00 ",Subdivision: SUNNYSIDE Lot: 15-16 Block: 1 B386 P396 B6...,
554052,,1/28/2008,5.60528E+11,,
Account Sale History,554143,Warranty Deed ,"$139,000.00 ",Section: 26 Township: 36 Range: 16,
554143,,1/31/2008,5.61126E+11,,
Account Sale History,554188,Warranty Deed (JT) ,"$337,500.00 ",Quarter: SW/4 Section: 12 Township: 36 Range: 15,
554188,,1/18/2008,5.60912E+11,,
Account Sale History,554270,Warranty Deed ,"$150,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...,
554270,,2/8/2008,5.61135E+11,,
Account Sale History,554372,Warranty Deed ,"$63,000.00 ",Quarter: NW/4 Section: 26 Township: 36 Range: 16 Subdiv...,
554372,,2/12/2008,5.61126E+11,,
Account Sale History,554384,Warranty Deed (JT) ,"$155,000.00 ",Section: 35 Township: 37 Range: 15 TR S1/2SW1/4 3.00AC ...,
554384,,2/4/2008,5.35935E+11,,
Account Sale History,554409,Personal Rep's Deed ,"$128,000.00 ",Section: 26 Township: 36 Range: 16,
554409,,2/14/2008,5.61126E+11,,
Account Sale History,554667,Warranty Deed ,"$125,000.00 ",Section: 34 Township: 37 Range: 15,
554667,,2/28/2008,5.35934E+11,,
Account Sale History,554706,Warranty Deed (JT) ,"$270,000.00 ",Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv...,
554706,,2/29/2008,5.60918E+11,,
Account Sale History,554931,Warranty Deed ,"$142,900.00 ",Section: 22 Township: 36 Range: 15 2.15 AC (USA OWNS AL...,
554931,,3/12/2008,5.60922E+11,,
Account Sale History,554968,Warranty Deed (JT) ,"$300,000.00 ",Quarter: SW/4 Section: 11 Township: 37 Range: 15,
554968,,3/13/2008,5.35911E+11,,
Account Sale History,554974,Warranty Deed ,"$127,000.00 ",Sixteenth: E/2 Quarter: NW/4 Section: 19 Township: 36 Ra...,
554974,,3/7/2008,5.60919E+11,,
Account Sale History,554982,Warranty Deed ,"$195,000.00 ",Section: 9 Township: 36 Range: 16,
554982,,3/10/2008,5.61109E+11,,
Account Sale History,554992,Warranty Deed ,"$200,000.00 ",Quarter: SE/4 Section: 33 Township: 37 Range: 14 Subdiv...,
554992,,3/14/2008,5.36133E+11,,
Account Sale History,555055,Warranty Deed (JT) ,"$250,000.00 ",Subdivision: TIBBITS-REYNOLDS Block: 7 LOT: 7 THRU:- LOT...,
555055,,3/14/2008,5.3591E+11,,
Account Sale History,555087,Warranty Deed ,"$55,000.00 ",Quarter: SE/4 Section: 20 Township: 36 Range: 15,
555087,,3/18/2008,5.6092E+11,,
Account Sale History,555111,Warranty Deed (JT) ,"$200,000.00 ",Sixteenth: S/2 Quarter: SE/4 Section: 17 Township: 36 Ra...,
555111,,3/20/2008,5.60917E+11,,
Account Sale History,555182,Warranty Deed ,"$311,000.00 ",Quarter: NW/4 Section: 18 Township: 36 Range: 16 Subdiv...,
555182,,3/24/2008,5.61118E+11,,
Account Sale History,555259,Warranty Deed ,"$74,000.00 ",Section: 9 Township: 35 Range: 16 Subdivision: MCLAUGHL...,
555259,,3/28/2008,5.63709E+11,,
Account Sale History,555328,Warranty Deed (JT) ,"$66,000.00 ",Sixteenth: NE Quarter: NW/4 Section: 11 Township: 36 Ran...,
555328,,3/21/2008,5.60711E+11,,
Account Sale History,555330,Warranty Deed (JT) ,"$301,500.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...,
555330,,3/31/2008,5.61126E+11,,
Account Sale History,555398,Warranty Deed ,"$75,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16,
555398,,4/4/2008,5.61135E+11,,
Account Sale History,555442,Warranty Deed (JT) ,"$140,000.00 ",Quarter: NW/4 Section: 14 Township: 35 Range: 16,
555442,,4/7/2008,5.63714E+11,,
Account Sale History,555609,Warranty Deed (JT) ,"$335,000.00 ",Quarter: SW/4 Section: 21 Township: 36 Range: 13 Subdiv...,
555609,,4/15/2008,5.60521E+11,,
Account Sale History,555617,Warranty Deed (JT) ,"$272,000.00 ",Section: 8 Township: 35 Range: 16 Subdivision: GOODWIN ...,
555617,,4/15/2008,5.63708E+11,,
Account Sale History,555718,Warranty Deed (JT) ,"$159,000.00 ",Quarter: SW/4 Section: 28 Township: 36 Range: 13 Subdiv...,
555718,,4/18/2008,5.60528E+11,,
Account Sale History,555755,Warranty Deed ,"$255,000.00 ",Quarter: SW/4 Section: 36 Township: 39 Range: 14 Subdiv...,
555755,,4/21/2008,5.07936E+11,,
Account Sale History,555789,Warranty Deed (JT) ,"$292,500.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...,
555789,,4/22/2008,5.61126E+11,,
Account Sale History,555859,Warranty Deed (JT) ,"$150,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...,
555859,,4/25/2008,5.61135E+11,,
Account Sale History,555860,Warranty Deed ,"$120,000.00 ",Quarter: SW/4 Section: 14 Township: 37 Range: 16,
555860,,4/25/2008,5.35714E+11,,
Account Sale History,555988,Warranty Deed (JT) ,"$270,000.00 ",Quarter: NW/4 Section: 25 Township: 37 Range: 15,
555988,,4/30/2008,5.35925E+11,,
Account Sale History,556000,Warranty Deed (JT) ,"$208,400.00 ",Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE...,
556000,,4/28/2008,5.60909E+11,,
Account Sale History,556009,Warranty Deed ,"$415,000.00 ",Quarter: NW/4 Section: 32 Township: 37 Range: 14 Subdiv...,
556009,,4/30/2008,5.36132E+11,,
Account Sale History,556031,Warranty Deed ,"$120,000.00 ",Quarter: NE/4 Section: 34 Township: 36 Range: 16,
556031,,5/1/2008,5.61134E+11,,
Account Sale History,556080,Warranty Deed ,"$50,000.00 ",Quarter: NE/4 Section: 21 Township: 37 Range: 17 Subdiv...,
556080,,5/1/2008,5.35521E+11,,
Account Sale History,556111,Warranty Deed (JT) ,"$90,000.00 ",Section: 6 Township: 37 Range: 16 Subdivision: SUNNYSID...,
556111,,5/2/2008,5.35706E+11,,
Account Sale History,556158,Quit Claim Deed ,"$30,000.00 ",Quarter: NW/4 Section: 28 Township: 36 Range: 14 Subdiv...,
556158,,5/6/2008,5.60728E+11,,
Account Sale History,556198,Warranty Deed ,"$33,000.00 ",Quarter: SW/4 Section: 20 Township: 36 Range: 15 Subdiv...,
556198,,5/8/2008,5.6092E+11,,
Account Sale History,556211,Warranty Deed (JT) ,"$219,000.00 ",Quarter: SW/4 Section: 15 Township: 36 Range: 16,
556211,,5/9/2008,5.61115E+11,,
Account Sale History,556223,Warranty Deed ,"$137,000.00 ",Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V...,
556223,,5/9/2008,5.63704E+11,,
Account Sale History,556288,Warranty Deed ,"$140,000.00 ",Quarter: NE/4 Section: 33 Township: 38 Range: 16,
556288,,5/14/2008,5.33933E+11,,
Account Sale History,556297,Warranty Deed ,"$370,000.00 ",Quarter: SE/4 Section: 35 Township: 37 Range: 16 Subdiv...,
556297,,5/14/2008,5.35735E+11,,
Account Sale History,556370,Warranty Deed ,"$165,000.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...,
556370,,5/16/2008,5.61124E+11,,
Account Sale History,556407,Warranty Deed (JT) ,"$95,000.00 ",Quarter: SW/4 Section: 19 Township: 37 Range: 16 Subdiv...,
556407,,5/16/2008,5.35719E+11,,
Account Sale History,556453,Warranty Deed ,"$400,000.00 ",Quarter: NW/4 Section: 22 Township: 36 Range: 13,
556453,,5/23/2008,5.60522E+11,,
Account Sale History,556457,Warranty Deed (JT) ,"$96,400.00 ",Quarter: SE/4 Section: 34 Township: 37 Range: 16,
