"","ID","Date","Price","Location"
"1","553664","1/4/2008","240000","Section: 8 Township: 36 Range: 15 Subdivision: VERDE VI..."
"2","553770","1/11/2008","385000","Quarter: NE/4 Section: 34 Township: 37 Range: 14 Subdiv..."
"3","553846","1/11/2008","114000","Section: 7 Township: 35 Range: 16 Subdivision: SAGE HIL..."
"4","554052","1/28/2008","187000","Subdivision: SUNNYSIDE Lot: 15-16 Block: 1 B386 P396 B6..."
"5","554143","1/31/2008","139000","Section: 26 Township: 36 Range: 16"
"6","554188","1/18/2008","337500","Quarter: SW/4 Section: 12 Township: 36 Range: 15"
"7","554270","2/8/2008","150000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"8","554372","2/12/2008","63000","Quarter: NW/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"9","554384","2/4/2008","155000","Section: 35 Township: 37 Range: 15 TR S1/2SW1/4 3.00AC ..."
"10","554409","2/14/2008","128000","Section: 26 Township: 36 Range: 16"
"11","554667","2/28/2008","125000","Section: 34 Township: 37 Range: 15"
"12","554706","2/29/2008","270000","Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv..."
"13","554931","3/12/2008","142900","Section: 22 Township: 36 Range: 15 2.15 AC (USA OWNS AL..."
"14","554968","3/13/2008","300000","Quarter: SW/4 Section: 11 Township: 37 Range: 15"
"15","554974","3/7/2008","127000","Sixteenth: E/2 Quarter: NW/4 Section: 19 Township: 36 Ra..."
"16","554982","3/10/2008","195000","Section: 9 Township: 36 Range: 16"
"17","554992","3/14/2008","200000","Quarter: SE/4 Section: 33 Township: 37 Range: 14 Subdiv..."
"18","555055","3/14/2008","250000","Subdivision: TIBBITS-REYNOLDS Block: 7 LOT: 7 THRU:- LOT..."
"19","555087","3/18/2008","55000","Quarter: SE/4 Section: 20 Township: 36 Range: 15"
"20","555111","3/20/2008","200000","Sixteenth: S/2 Quarter: SE/4 Section: 17 Township: 36 Ra..."
"21","555182","3/24/2008","311000","Quarter: NW/4 Section: 18 Township: 36 Range: 16 Subdiv..."
"22","555259","3/28/2008","74000","Section: 9 Township: 35 Range: 16 Subdivision: MCLAUGHL..."
"23","555328","3/21/2008","66000","Sixteenth: NE Quarter: NW/4 Section: 11 Township: 36 Ran..."
"24","555330","3/31/2008","301500","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"25","555398","4/4/2008","75000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"26","555442","4/7/2008","140000","Quarter: NW/4 Section: 14 Township: 35 Range: 16"
"27","555609","4/15/2008","335000","Quarter: SW/4 Section: 21 Township: 36 Range: 13 Subdiv..."
"28","555617","4/15/2008","272000","Section: 8 Township: 35 Range: 16 Subdivision: GOODWIN ..."
"29","555718","4/18/2008","159000","Quarter: SW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"30","555755","4/21/2008","255000","Quarter: SW/4 Section: 36 Township: 39 Range: 14 Subdiv..."
"31","555789","4/22/2008","292500","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"32","555859","4/25/2008","150000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"33","555860","4/25/2008","120000","Quarter: SW/4 Section: 14 Township: 37 Range: 16"
"34","555988","4/30/2008","270000","Quarter: NW/4 Section: 25 Township: 37 Range: 15"
"35","556000","4/28/2008","208400","Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE..."
"36","556009","4/30/2008","415000","Quarter: NW/4 Section: 32 Township: 37 Range: 14 Subdiv..."
"37","556031","5/1/2008","120000","Quarter: NE/4 Section: 34 Township: 36 Range: 16"
"38","556080","5/1/2008","50000","Quarter: NE/4 Section: 21 Township: 37 Range: 17 Subdiv..."
"39","556111","5/2/2008","90000","Section: 6 Township: 37 Range: 16 Subdivision: SUNNYSID..."
"40","556158","5/6/2008","30000","Quarter: NW/4 Section: 28 Township: 36 Range: 14 Subdiv..."
"41","556198","5/8/2008","33000","Quarter: SW/4 Section: 20 Township: 36 Range: 15 Subdiv..."
"42","556211","5/9/2008","219000","Quarter: SW/4 Section: 15 Township: 36 Range: 16"
"43","556223","5/9/2008","137000","Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V..."
"44","556288","5/14/2008","140000","Quarter: NE/4 Section: 33 Township: 38 Range: 16"
"45","556297","5/14/2008","370000","Quarter: SE/4 Section: 35 Township: 37 Range: 16 Subdiv..."
"46","556370","5/16/2008","165000","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"47","556407","5/16/2008","95000","Quarter: SW/4 Section: 19 Township: 37 Range: 16 Subdiv..."
"48","556453","5/23/2008","400000","Quarter: NW/4 Section: 22 Township: 36 Range: 13"
"49","556457","5/22/2008","96400","Quarter: SE/4 Section: 34 Township: 37 Range: 16"
"50","556461","5/14/2008","250000","Section: 6 Township: 36 Range: 15"
"51","556591","5/30/2008","322500","Section: 17 Township: 37 Range: 15 Subdivision: ADAMS L..."
"52","556604","5/30/2008","195000","Quarter: SE/4 Section: 27 Township: 36 Range: 16 Subdiv..."
"53","556700","5/30/2008","80000","Quarter: SW/4 Section: 31 Township: 37 Range: 15 Subdiv..."
"54","556798","6/9/2008","335000","Quarter: NE/4 Section: 21 Township: 37 Range: 17"
"55","556968","6/16/2008","299900","Quarter: NE/4 Section: 33 Township: 36 Range: 18"
"56","557034","6/18/2008","120000","Quarter: SE/4 Section: 25 Township: 38 Range: 17"
"57","557081","6/20/2008","78900","Section: 9 Township: 36 Range: 16"
"58","557091","6/20/2008","60000","Sixteenth: SE/4 Quarter: NE/4 Section: 31 Township: 35 R..."
"59","557137","2/18/2008","40100","Quarter: NW/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"60","557145","6/24/2008","315000","Section: 2 Township: 36 Range: 16"
"61","557211","6/26/2008","219000","Quarter: NW/4 Section: 16 Township: 36 Range: 15"
"62","557225","6/26/2008","196900","Section: 13 Township: 36 Range: 17 Subdivision: FOURWIN..."
"63","557264","6/27/2008","165000","Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"64","557266","6/27/2008","288000","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"65","557305","6/30/2008","182000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"66","557344","7/2/2008","185000","Quarter: SE/4 Section: 34 Township: 37 Range: 14"
"67","557427","7/8/2008","150000","Quarter: SE/4 Section: 16 Township: 36 Range: 16"
"68","557458","7/10/2008","158000","Quarter: SW/4 Section: 34 Township: 37 Range: 16 Subdiv..."
"69","557544","7/15/2008","225000","Quarter: NE/4 Section: 31 Township: 37 Range: 15"
"70","557563","7/15/2008","305000","Quarter: SE/4 Section: 17 Township: 36 Range: 15"
"71","557610","7/17/2008","45900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"72","557611","7/17/2008","184900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"73","557645","6/30/2008","200000","Quarter: SW/4 Section: 12 Township: 37 Range: 15"
"74","557684","7/15/2008","485000","Quarter: SW/4 Section: 31 Township: 37 Range: 16"
"75","557705","7/23/2008","70000","Quarter: NE Section: 26 Township: 36 Range: 16"
"76","557726","7/23/2008","143000","Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"77","557813","7/28/2008","169000","Quarter: NW/4 Section: 25 Township: 36 Range: 16 Subdiv..."
"78","557820","7/29/2008","275300","Section: 7 Township: 37 Range: 16"
"79","557879","7/30/2008","330000","Sixteenth: SE Quarter: NE/4 Section: 36 Township: 36 Ran..."
"80","557883","7/30/2008","171000","Quarter: NW/4 Section: 17 Township: 36 Range: 16"
"81","557886","7/31/2008","150000","Quarter: SE/4 Section: 30 Township: 35 Range: 16 Subdiv..."
"82","557936","7/31/2008","240000","Quarter: NE/4 Section: 21 Township: 38 Range: 17 Subdiv..."
"83","557958","7/31/2008","107500","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"84","557972","8/1/2008","232000","Section: 1 Township: 35 Range: 16 TR IN SE1/4NW1/4 5A ..."
"85","557986","7/31/2008","45000","Quarter: NW/4 Section: 13 Township: 36 Range: 17 Subdiv..."
