"","SiteID","symbol","N","mean","sd","se"
"1","EM","ACHY",2,0,0,0
"2","EM","ADLE",2,0,0,0
"3","EM","AGCR",2,0,0,0
"4","EM","ARFR4",2,0,0,0
"5","EM","ARNO4",2,0,0,0
"6","EM","ARPU9",2,0,0,0
"7","EM","ARTR2",2,17.3333333333333,8.48528137423857,6
"8","EM","ASAM5",2,0,0,0
"9","EM","ASTRA",2,0,0,0
"10","EM","ASTRA01",2,0,0,0
"11","EM","ASTRA2",2,0,0,0
"12","EM","ATCA2",2,0,0,0
"13","EM","ATCO",2,0,0,0
"14","EM","BOGR2",2,22.3333333333333,8.01387685344752,5.66666666666665
"15","EM","BRTE",2,0,0,0
"16","EM","BUNKF01",2,0,0,0
"17","EM","CHDE2",2,0.333333333333333,0.471404520791032,0.333333333333333
"18","EM","CHER2",2,1.66666666666666,2.35702260395516,1.66666666666666
"19","EM","CHVI8",2,0,0,0
"20","EM","COWRW",2,0,0,0
"21","EM","CRMI",2,0,0,0
"22","EM","DEPI",2,0.666666666666665,0.942809041582061,0.666666666666665
"23","EM","DRCU",2,0,0,0
"24","EM","ELEL5",2,3,0.471404520791027,0.33333333333333
"25","EM","ERCI6",2,0,0,0
"26","EM","ERCO27",2,0,0,0
"27","EM","ERIGE2",2,0,0,0
"28","EM","ERIGERON SP.",2,0,0,0
"29","EM","ERLE10",2,0,0,0
"30","EM","ERLO4",2,0,0,0
"31","EM","ERNA10",2,0,0,0
"32","EM","ERPU9",2,0,0,0
"33","EM","GUSA2",2,1.33333333333334,1.88561808316413,1.33333333333334
"34","EM","HECO26",2,1.66666666666666,2.35702260395516,1.66666666666666
"35","EM","HL",2,55,17.4419672692681,12.3333333333333
"36","EM","HYFI",2,0,0,0
"37","EM","IPPU4",2,0,0,0
"38","EM","IPRO",2,0,0,0
"39","EM","JUOS",2,0.666666666666665,0.942809041582061,0.666666666666665
"40","EM","KRLA2",2,0,0,0
"41","EM","LAOC3",2,0,0,0
"42","EM","LARE",2,0,0,0
"43","EM","LEMO2",2,0,0,0
"44","EM","LEMO3",2,0,0,0
"45","EM","LESA4",2,0,0,0
"46","EM","MAPI",2,0,0,0
"47","EM","MAVU",2,0,0,0
"48","EM","None",2,27.6666666666667,16.4991582276861,11.6666666666666
