symbol,Scientific Name,Common Name,Duration,Growth_Habit
ABTH,Abutilon theophrasti,velvetleaf,Annual,Forb/herb
AECY,Aegilops cylindrica,jointed goatgrass,Annual,Graminoid
AGTE3,Agalinis tenuifolia,slenderleaf false foxglove,Annual,Forb/herb
AGTEP2,Agalinis tenuifolia var. parviflora,slenderleaf false foxglove,Annual,Forb/herb
AGHE2,Agoseris heterophylla,annual agoseris,Annual,Forb/herb
AGHEH,Agoseris heterophylla var. heterophylla,annual agoseris,Annual,Forb/herb
AGBR4,Agrostemma brachyloba,narrow corncockle,Annual,Forb/herb
AGGI,Agrostemma githago,common corncockle,Annual,Forb/herb
ALLE7,Aliciella leptomeria,sand gilia,Annual,Forb/herb
ALMI10,Aliciella micromeria,dainty gilia,Annual,Forb/herb
ALSE11,Aliciella sedifolia,stonecrop gilia,Annual,Forb/herb
ALSU10,Aliciella subacaulis,pinyon gilia,Annual,Forb/herb
ALTR14,Aliciella triodon,coyote gilia,Annual,Forb/herb
ALCA4,Alopecurus carolinianus,Carolina foxtail,Annual,Graminoid
ALDE,Alyssum desertorum,desert madwort,Annual,Forb/herb
ALDED,Alyssum desertorum var. desertorum,desert madwort,Annual,Forb/herb
ALMU,Alyssum murale,yellowtuft,Annual,Forb/herb
ALSI8,Alyssum simplex,alyssum,Annual,Forb/herb
AMAL,Amaranthus albus,prostrate pigweed,Annual,Forb/herb
AMAR,Amaranthus arenicola,sandhill amaranth,Annual,Forb/herb
AMBL,Amaranthus blitoides,mat amaranth,Annual,Forb/herb
AMHY,Amaranthus hybridus,slim amaranth,Annual,Forb/herb
AMPA,Amaranthus palmeri,carelessweed,Annual,Forb/herb
AMPO2,Amaranthus powellii,Powell's amaranth,Annual,Forb/herb
AMPOP,Amaranthus powellii ssp. powellii,Powell's amaranth,Annual,Forb/herb
AMRE,Amaranthus retroflexus,redroot amaranth,Annual,Forb/herb
AMTU,Amaranthus tuberculatus,roughfruit amaranth,Annual,Forb/herb
AMWR,Amaranthus wrightii,Wright's amaranth,Annual,Forb/herb
AMAC2,Ambrosia acanthicarpa,flatspine bur ragweed,Annual,Forb/herb
AMAR2,Ambrosia artemisiifolia,annual ragweed,Annual,Forb/herb
AMARE,Ambrosia artemisiifolia var. elatior,annual ragweed,Annual,Forb/herb
AMLI3,Ambrosia linearis,streaked bur ragweed,Annual,Subshrub
AMTR,Ambrosia trifida,great ragweed,Annual,"Subshrub, Forb/herb"
AMTRT2,Ambrosia trifida var. trifida,great ragweed,Annual,"Subshrub, Forb/herb"
AMRO3,Ammannia robusta,grand redstem,Annual,Forb/herb
AMLY,Amsinckia lycopsoides,tarweed fiddleneck,Annual,Forb/herb
AMME,Amsinckia menziesii,Menzies' fiddleneck,Annual,Forb/herb
AMMEM2,Amsinckia menziesii var. menziesii,Menzies' fiddleneck,Annual,Forb/herb
ANMI4,Anagallis minima,chaffweed,Annual,Forb/herb
ANFI,Androsace filiformis,filiform rockjasmine,Annual,Forb/herb
ANOC2,Androsace occidentalis,western rockjasmine,Annual,Forb/herb
ANGR2,Anethum graveolens,dill,Annual,Forb/herb
ANCR2,Anoda cristata,crested anoda,Annual,Forb/herb
ANAR6,Anthemis arvensis,corn chamomile,Annual,Forb/herb
ANCO2,Anthemis cotula,stinking chamomile,Annual,Forb/herb
APIN,Apera interrupta,dense silkybent,Annual,Graminoid
ARSE2,Arenaria serpyllifolia,thymeleaf sandwort,Annual,Forb/herb
ARAD,Aristida adscensionis,sixweeks threeawn,Annual,Graminoid
ARBA2,Aristida basiramea,forked threeawn,Annual,Graminoid
ARDI4,Aristida dichotoma,churchmouse threeawn,Annual,Graminoid
ARDIC,Aristida dichotoma var. curtissii,Curtis' threeawn,Annual,Graminoid
ARLO16,Aristida longespica,slimspike threeawn,Annual,Graminoid
ARLOG6,Aristida longespica var. geniculata,slimspike threeawn,Annual,Graminoid
ARAN3,Artemisia annua,sweet sagewort,Annual,Forb/herb
ASPR,Asperugo procumbens,German-madwort,Annual,Forb/herb
ATHO,Atriplex hortensis,garden orache,Annual,Forb/herb
ATMI2,Atriplex micrantha,twoscale saltbush,Annual,Forb/herb
ATPA8,Atriplex pachypoda,thickfoot saltbush,Annual,Forb/herb
ATPA4,Atriplex patula,spear saltbush,Annual,Forb/herb
ATPO2,Atriplex powellii,Powell's saltweed,Annual,Forb/herb
ATPR,Atriplex prostrata,triangle orache,Annual,Forb/herb
ATRO,Atriplex rosea,tumbling saltweed,Annual,Forb/herb
ATSA,Atriplex saccaria,sack saltbush,Annual,Forb/herb
ATSU2,Atriplex subspicata,saline saltbush,Annual,Forb/herb
ATTE,Atriplex tenuissima,slender saltbush,Annual,Forb/herb
ATTR,Atriplex truncata,wedgescale saltbush,Annual,Forb/herb
ATWO,Atriplex wolfii,Wolf's saltweed,Annual,Forb/herb
AVFA,Avena fatua,wild oat,Annual,Graminoid
AVSA,Avena sativa,common oat,Annual,Graminoid
AXAM,Axyris amaranthoides,Russian pigweed,Annual,Forb/herb
BAHY,Bassia hyssopifolia,fivehorn smotherweed,Annual,Forb/herb
BASC5,Bassia scoparia,burningbush,Annual,Forb/herb
BESY,Beckmannia syzigachne,American sloughgrass,Annual,Graminoid
BIBI,Bidens bigelovii,Bigelow's beggarticks,Annual,Forb/herb
BIBIB2,Bidens bigelovii var. bigelovii,Bigelow's beggarticks,Annual,Forb/herb
BIBI7,Bidens bipinnata,Spanish needles,Annual,Forb/herb
BICE,Bidens cernua,nodding beggartick,Annual,Forb/herb
BIFR,Bidens frondosa,devil's beggartick,Annual,Forb/herb
BITE,Bidens tenuisecta,slimlobe beggarticks,Annual,Forb/herb
BITR,Bidens tripartita,threelobe beggarticks,Annual,Forb/herb
BIVU,Bidens vulgata,big devils beggartick,Annual,Forb/herb
BOBA2,Bouteloua barbata,sixweeks grama,Annual,Graminoid
BOSI2,Bouteloua simplex,matted grama,Annual,Graminoid
BRDI2,Brachypodium distachyon,purple false brome,Annual,Graminoid
BRNI,Brassica nigra,black mustard,Annual,Forb/herb
BRMA,Briza maxima,big quakinggrass,Annual,Graminoid
BRAR5,Bromus arvensis,field brome,Annual,Graminoid
BRBR5,Bromus briziformis,rattlesnake brome,Annual,Graminoid
BRHO2,Bromus hordeaceus,soft brome,Annual,Graminoid
BRHOH,Bromus hordeaceus ssp. hordeaceus,soft brome,Annual,Graminoid
BRRA2,Bromus racemosus,bald brome,Annual,Graminoid
BRSE,Bromus secalinus,rye brome,Annual,Graminoid
BRSES,Bromus secalinus var. secalinus,rye brome,Annual,Graminoid
BRSQ2,Bromus squarrosus,corn brome,Annual,Graminoid
BRST2,Bromus sterilis,poverty brome,Annual,Graminoid
BRTE,Bromus tectorum,cheatgrass,Annual,Graminoid
BUAR3,Buglossoides arvensis,corn gromwell,Annual,Forb/herb
BUAM2,Bupleurum americanum,American thorow wax,Annual,Forb/herb
CAPA47,Calibrachoa parviflora,seaside petunia,Annual,Forb/herb
CARU15,Camelina rumelica,graceful false flax,Annual,Forb/herb
CAAN14,Camissonia andina,Blackfoot River evening primrose,Annual,Forb/herb
CAEA,Camissonia eastwoodiae,Grand Junction camissonia,Annual,Forb/herb
CAMI23,Camissonia minor,small evening primrose,Annual,Forb/herb
CAPA39,Camissonia parvula,Lewis River suncup,Annual,Forb/herb
CASC18,Camissonia scapoidea,Paiute suncup,Annual,Forb/herb
CASCS3,Camissonia scapoidea ssp. scapoidea,Paiute suncup,Annual,Forb/herb
CASA3,Cannabis sativa,marijuana,Annual,Forb/herb
CASAS3,Cannabis sativa ssp. sativa,marijuana,Annual,Forb/herb
CASAS9,Cannabis sativa ssp. sativa var. sativa,marijuana,Annual,Forb/herb
CABU2,Capsella bursa-pastoris,shepherd's purse,Annual,Forb/herb
CATI,Carthamus tinctorius,safflower,Annual,Forb/herb
CELO3,Cenchrus longispinus,mat sandbur,Annual,Graminoid
CECY2,Centaurea cyanus,garden cornflower,Annual,Forb/herb
CEER,Centaurea eriophora,wild sandheath,Annual,Forb/herb
CESO3,Centaurea solstitialis,yellow star-thistle,Annual,Forb/herb
CEEX,Centaurium exaltatum,desert centaury,Annual,Forb/herb
CEPU3,Centaurium pulchellum,branched centaury,Annual,Forb/herb
CETE5,Ceratocephala testiculata,curveseed butterwort,Annual,Forb/herb
CHST,Chaenactis stevioides,Esteve's pincushion,Annual,Forb/herb
CHMI,Chaenorhinum minus,dwarf snapdragon,Annual,Forb/herb
CHGE2,Chamaesyce geyeri,Geyer's sandmat,Annual,Forb/herb
CHGEG,Chamaesyce geyeri var. geyeri,Geyer's sandmat,Annual,Forb/herb
CHGL13,Chamaesyce glyptosperma,ribseed sandmat,Annual,Forb/herb
CHMA15,Chamaesyce maculata,spotted sandmat,Annual,Forb/herb
CHMI8,Chamaesyce missurica,prairie sandmat,Annual,Forb/herb
CHPA28,Chamaesyce parryi,Parry's sandmat,Annual,Forb/herb
CHRE4,Chamaesyce revoluta,threadstem sandmat,Annual,Forb/herb
CHSE6,Chamaesyce serpyllifolia,thymeleaf sandmat,Annual,Forb/herb
CHSES,Chamaesyce serpyllifolia ssp. serpyllifolia,thymeleaf sandmat,Annual,Forb/herb
CHST8,Chamaesyce stictospora,slimseed sandmat,Annual,Forb/herb
CHAL7,Chenopodium album,lambsquarters,Annual,Forb/herb
CHALA,Chenopodium album var. album,lambsquarters,Annual,Forb/herb
CHALM2,Chenopodium album var. missouriense,Missouri lambsquarters,Annual,Forb/herb
CHALS2,Chenopodium album var. striatum,lateflowering goosefoot,Annual,Forb/herb
CHAT,Chenopodium atrovirens,pinyon goosefoot,Annual,Forb/herb
CHBE4,Chenopodium berlandieri,pitseed goosefoot,Annual,Forb/herb
CHBEB2,Chenopodium berlandieri var. berlandieri,pitseed goosefoot,Annual,Forb/herb
CHBEB,Chenopodium berlandieri var. boscianum,pitseed goosefoot,Annual,Forb/herb
CHBEZ,Chenopodium berlandieri var. zschackii,Zschack's goosefoot,Annual,Forb/herb
CHCA4,Chenopodium capitatum,blite goosefoot,Annual,Forb/herb
CHCH,Chenopodium chenopodioides,low goosefoot,Annual,Forb/herb
CHCY,Chenopodium cycloides,sandhill goosefoot,Annual,Forb/herb
CHDE,Chenopodium desiccatum,aridland goosefoot,Annual,Forb/herb
CHFO2,Chenopodium foliosum,leafy goosefoot,Annual,Forb/herb
CHFR3,Chenopodium fremontii,Fremont's goosefoot,Annual,Forb/herb
CHFRF,Chenopodium fremontii var. fremontii,Fremont's goosefoot,Annual,Forb/herb
CHGL3,Chenopodium glaucum,oakleaf goosefoot,Annual,Forb/herb
CHHI,Chenopodium hians,hians goosefoot,Annual,Forb/herb
CHHU,Chenopodium humile,marshland goosefoot,Annual,Forb/herb
CHIN2,Chenopodium incanum,mealy goosefoot,Annual,Forb/herb
CHINI,Chenopodium incanum var. incanum,mealy goosefoot,Annual,Forb/herb
CHLE4,Chenopodium leptophyllum,narrowleaf goosefoot,Annual,Forb/herb
CHOV,Chenopodium overi,Over's goosefoot,Annual,Forb/herb
CHPO,Chenopodium polyspermum,manyseed goosefoot,Annual,Forb/herb
CHPOA,Chenopodium polyspermum var. acutifolium,manyseed goosefoot,Annual,Forb/herb
CHPR5,Chenopodium pratericola,desert goosefoot,Annual,Forb/herb
CHRU,Chenopodium rubrum,red goosefoot,Annual,Forb/herb
CHSA2,Chenopodium salinum,Rocky Mountain goosefoot,Annual,Forb/herb
CHSI2,Chenopodium simplex,mapleleaf goosefoot,Annual,Forb/herb
CHSU2,Chenopodium subglabrum,smooth goosefoot,Annual,Forb/herb
CHWA,Chenopodium watsonii,Watson's goosefoot,Annual,Forb/herb
CHVI4,Chloris virgata,feather fingergrass,Annual,Graminoid
CHTE2,Chorispora tenella,crossflower,Annual,Forb/herb
CLRU2,Claytonia rubra,redstem springbeauty,Annual,Forb/herb
CLRUD,Claytonia rubra ssp. depressa,redstem springbeauty,Annual,Forb/herb
CLRUR,Claytonia rubra ssp. rubra,redstem springbeauty,Annual,Forb/herb
CLLU2,Cleome lutea,yellow spiderflower,Annual,Forb/herb
CLLUL,Cleome lutea var. lutea,yellow spiderflower,Annual,Forb/herb
CLMU,Cleome multicaulis,slender spiderflower,Annual,Forb/herb
CLSE,Cleome serrulata,Rocky Mountain beeplant,Annual,Forb/herb
CLAN,Cleomella angustifolia,narrowleaf rhombopod,Annual,Forb/herb
CLPA3,Cleomella palmeriana,Rocky Mountain stickweed,Annual,Forb/herb
COPA3,Collinsia parviflora,maiden blue eyed Mary,Annual,Forb/herb
COGR4,Collomia grandiflora,grand collomia,Annual,Forb/herb
COLI2,Collomia linearis,tiny trumpet,Annual,Forb/herb
COOR,Conringia orientalis,hare's ear mustard,Annual,Forb/herb
CORA5,Cordylanthus ramosus,bushy bird's beak,Annual,Forb/herb
COWR2,Cordylanthus wrightii,Wright's bird's beak,Annual,Forb/herb
COWRW,Cordylanthus wrightii ssp. wrightii,Wright's bird's beak,Annual,Forb/herb
COAM8,Corispermum americanum,American bugseed,Annual,Forb/herb
COAMA2,Corispermum americanum var. americanum,American bugseed,Annual,Forb/herb
