Transect ID,Location,Sage1 Difference,Sage2 Difference,Shrub Difference,PJ Difference,Sage1ToFromTotal,Sage1Cover%
3,Monogram Mesa SU07,9.63332653,,20.33333937,,2.889997959,9.63332653
15,Monogram Mesa SU07,4.300007187,,6.200008392,,1.290002156,4.300007187
16,Monogram Mesa SU07,11.73333287,,12.36665646,,3.519999862,11.73333287
17,Monogram Mesa SU07,2.899999619,,36.43331389,,0.869999886,2.899999619
18,Monogram Mesa SU07,5.30001243,,19.43331877,0.333334605,1.590003729,5.30001243
19,Monogram Mesa SU07,2.933328946,,16.59999609,,0.879998684,2.933328946
20,Monogram Mesa SU07,17.93333054,,1.233336131,,5.379999161,17.93333054
21,Monogram Mesa SU07,5.133331617,,13.53333592,,1.539999485,5.133331617
22,Monogram Mesa SU07,4.466675123,,10.43332656,,1.340002537,4.466675123
23,Monogram Mesa SU07,1.266665459,,15.99999925,,0.379999638,1.266665459
24,Monogram Mesa SU07,13.30001016,,14.86665482,,3.990003049,13.30001016
25,Monogram Mesa SU07,7.133339246,,16.36666213,,2.140001774,7.133339246
26,Monogram Mesa SU07,18.60000193,,1.100000938,,5.580000579,18.60000193
27,Monogram Mesa SU07,9.633339246,,0.033330917,,2.890001774,9.633339246
28,Monogram Mesa SU07,13.13333114,,3.499997457,,3.939999342,13.13333114
29,Monogram Mesa SU07,7.999994755,,12.39998716,,2.399998426,7.999994755
30,Monogram Mesa SU07,2.833328247,,1.433342298,,0.849998474,2.833328247
31,Monogram Mesa SU07,11.06667678,,5.633339485,,3.320003033,11.06667678
32,Monogram Mesa SU07,8.366664847,,17.96665986,,2.509999454,8.366664847
33,Monogram Mesa SU07,11.26667182,,15.40001154,,3.380001545,11.26667182
34,Monogram Mesa SU07,2.500003179,,18.89998357,,0.750000954,2.500003179
35,Monogram Mesa SU07,26.46666527,,5.099994342,,7.93999958,26.46666527
36,Monogram Mesa SU07,9.366665681,,22.66668171,,2.809999704,9.366665681
37,Monogram Mesa SU07,9.96667703,,5.133331617,,2.990003109,9.96667703
38,Monogram Mesa SU07,9.833334684,,19.00000294,,2.950000405,9.833334684
39,Monogram Mesa SU07,3.333337307,,8.733320236,,1.000001192,3.333337307
40,Monogram Mesa SU07,21.19999091,,5.200000405,,6.359997272,21.19999091
41,Monogram Mesa SU07,3.499999046,,5.199999015,,1.049999714,3.499999046
42,Monogram Mesa SU07,4.366661708,,6.400011381,,1.309998512,4.366661708
